tau,P,omega,omega_0,fidelity,epsilon,Teff,intH,DintH,normax
#REFERENCE:0.0009992053928248698,0.5251666708804286,0.01459799255089859,0.3509823856482197
0.1,1000,62.83185307179586,2.1709079388110846,0.00206316247412631,0.4828885450656452,2.1924868904837034,290.1527614023796,0.00012879840719429972,22686.16677678656
0.1,1000,62.83185307179586,2.591579188665106,0.0018306092147000756,0.4884212238009299,1.8276209278157236,243.4871047424359,0.0019966601907201826,19173.77625398849
0.1,1000,62.83185307179586,3.0937667005816545,0.0014515810152034036,0.5012936792646575,1.5483390039589104,207.03941178347455,0.00012067748546666635,16261.595071118423
0.1,1000,62.83185307179586,3.6932664220683193,0.0009618436894795686,0.5226802201842534,1.347652553375159,179.13475195080122,6.677552934303682e-05,13858.02098979239
0.1,1000,62.83185307179586,4.408935186293411,0.0004838595508736614,0.5527383272700384,1.20352088133874,158.17727247322543,0.00010249924461296791,11887.449740354508
0.1,1000,62.83185307179586,5.263283840229962,0.0001606088658158277,0.5899839636650314,1.1073354895968905,143.20334261393805,7.423170363214078e-05,10287.89749626124
0.1,1000,62.83185307179586,6.283185307179586,4.511829022422501e-05,0.6307007483961247,1.054153898854409,133.5412435439731,5.034614547695264e-06,9009.052199315598
0.1,1000,62.83185307179586,7.500719855274338,3.748328347204179e-05,0.6691333321466594,1.0408152995062188,128.739875780436,5.117981952065641e-06,8010.692526442462
0.1,1000,62.83185307179586,8.954184159270191,2.3359936269885027e-05,0.6993325135266427,1.0655346211354457,128.5403287111089,5.43464088846188e-06,7261.42464194323
0.1,1000,62.83185307179586,10.689295894946174,3.5401698397992855e-05,0.7183780291091428,1.127944704451127,132.86944671774543,5.543421885211106e-06,6737.6964652721645
0.1,1000,62.83185307179586,12.760631755760757,5.813311068631993e-05,0.7279914114326465,1.2291383759611305,141.85225353813064,6.746799782827713e-06,6423.057452923991
0.1,1000,62.83185307179586,15.233344123546667,5.563445961653715e-05,0.7319418420722341,1.3726724956805891,155.96980033238634,2.349106544286294e-06,6307.639553108498
0.1,1000,62.83185307179586,18.185210389887885,9.118270767515347e-05,0.7321777244164984,1.5649358232078723,175.8536178810974,2.1443156299483235e-06,6422.566887678658
0.1,1000,62.83185307179586,21.70907938811084,9.199112117973693e-05,0.727509959365484,1.8110297232371622,201.61444384550896,1.7985819340538e-06,7698.849323279989
0.1,1000,62.83185307179586,25.91579188665106,0.00019327414412194288,0.7213423714950057,2.1283592063492307,233.85838106323143,3.2588032183866744e-06,9216.24035003673
0.1,1000,62.83185307179586,30.93766700581654,0.00021376970383667047,0.723340340962304,2.51330328637928,273.42621756841794,2.730443384280079e-06,11022.454854098745
0.1,1000,62.83185307179586,36.932664220683186,0.00010859177154633423,0.7339837892356906,2.976538442712667,321.4718222881881,2.2875102558828075e-06,13174.300881311912
0.1,1000,62.83185307179586,44.0893518629341,7.242690817744097e-05,0.715997305043001,3.532202629098255,379.4817459571051,1.916330234053021e-06,15739.462132536224
0.1,1000,62.83185307179586,52.6328384022996,8.761927027888124e-05,0.7153959366846498,4.1975820061968285,449.32528876080454,6.26337151743428e-06,18798.624637171106
0.1,1000,62.83185307179586,62.83185307179586,0.00010136812476534517,0.7129645355911891,4.993512315916562,533.3322531352879,5.302930958350771e-06,22448.01352756149
0.1,1000,125.66370614359172,2.1709079388110846,0.012229658836770078,0.35249174490597346,3.695509635115398,470.1706194836551,0.028549767733920817,10948.450520332215
0.1,1000,125.66370614359172,2.591579188665106,0.013846584986580816,0.3443285515623077,3.0963357562957765,393.39540445101187,0.024360515048044817,9201.420168429357
0.1,1000,125.66370614359172,3.0937667005816545,0.01451630628527437,0.340753810784001,2.598081583122859,329.8298745398408,0.019924247377616666,7737.965179305208
0.1,1000,125.66370614359172,3.6932664220683193,0.014328938660790819,0.34181477325194626,2.1871241398468335,278.1254112403299,0.0024750102224070404,6512.053627393312
0.1,1000,125.66370614359172,4.408935186293411,0.013477949837994406,0.34680265515800474,1.8544180360133347,236.58616028498335,0.002048437054284367,5485.1253453627905
0.1,1000,125.66370614359172,5.263283840229962,0.012117975974269708,0.35542672531902825,1.596001411268776,203.9720280033935,0.001655297381066421,4624.945858441974
0.1,1000,125.66370614359172,6.283185307179586,0.010338287568533323,0.3680632187098251,1.4069101706781988,179.29694518651374,0.0013931789400495839,3904.4053501305752
0.1,1000,125.66370614359172,7.500719855274338,0.00820717805084237,0.3855331066450276,1.2785809678218774,161.77880461193132,0.0007110448042908502,3300.827063122196
0.1,1000,125.66370614359172,8.954184159270191,0.0058677990606139,0.4087468608987093,1.2049510498509588,150.82183287062875,0.00020338348733162093,2795.225875910046
0.1,1000,125.66370614359172,10.689295894946174,0.003584326897125682,0.4383891567447974,1.1855575410772539,146.02696439465737,4.9585896221060466e-05,3205.245503946165
0.1,1000,125.66370614359172,12.760631755760757,0.0017295717006986112,0.4744492057378641,1.2230417228830133,147.22084139948598,6.328626909635204e-05,3945.8278954685425
0.1,1000,125.66370614359172,15.233344123546667,0.0006166751156979241,0.5156450140485562,1.3169290351219192,154.4465273227451,9.253065877176616e-06,4814.977891578451
0.1,1000,125.66370614359172,18.185210389887885,0.00022118863732001462,0.559029782427508,1.466946289370586,167.86086024036643,2.0009566753742547e-05,5838.74033504156
0.1,1000,125.66370614359172,21.70907938811084,0.0001416660786518564,0.6004114964311708,1.6739755701183836,187.65283301731117,3.0515621629123368e-05,7048.606130535094
0.1,1000,125.66370614359172,25.91579188665106,6.261901457312831e-05,0.6359516534309823,1.9405864852328778,214.1297398295591,1.4852978580393028e-05,8482.227658692576
0.1,1000,125.66370614359172,30.93766700581654,6.982405213005637e-06,0.6640081992903566,2.2715341216535023,247.8500933783924,6.63287079305519e-06,10184.464130910974
0.1,1000,125.66370614359172,36.932664220683186,2.977312820486702e-05,0.6848222860426378,2.675598300942119,289.6856777476925,3.2386440695021545e-06,12208.719199955376
