tau,P,omega,omega_0,fidelity,epsilon,Teff,intH,DintH,normax
#REFERENCE:0.6690318353624135,0.19261853144876323,0.9233902627334463,0.03728160066466051
0.1,1000,62.83185307179586,2.1709079388110846,0.9824787145153844,0.01095167213916762,1.846987289214873,17.8113963904358,1.7441448159459668e-07,397.23429032627865
0.1,1000,62.83185307179586,2.591579188665106,0.9902666267517439,0.008734506813144966,1.5502495236822416,14.94170033745084,1.9032683078400695e-07,334.90773232663383
0.1,1000,62.83185307179586,3.0937667005816545,0.9828206269078752,0.015756324427174666,1.3029408126641433,12.545283841300671,8.219558350156357e-08,282.69816830791177
0.1,1000,62.83185307179586,3.6932664220683193,0.9648909262917054,0.02646270943736622,1.097181130065063,10.548855034737771,9.412980774426133e-08,238.96338393171436
0.1,1000,62.83185307179586,4.408935186293411,0.9422186673157023,0.037755537666630985,0.9268258543753606,8.892381538827276,6.47390998740813e-08,202.32773296656563
0.1,1000,62.83185307179586,5.263283840229962,0.9173570456164182,0.04973945044539268,0.7871018347556296,7.52719733844254,2.9173461175242485e-08,171.63886732371424
0.1,1000,62.83185307179586,6.283185307179586,0.8907970064056362,0.06336135050594922,0.6746337465269276,6.414418616007038,7.728465370942589e-08,145.9314907756376
0.1,1000,62.83185307179586,7.500719855274338,0.8618744447263212,0.07960329456119186,0.5884169384296487,5.523888531043415,2.696023144397588e-09,124.39699625649777
0.1,1000,62.83185307179586,8.954184159270191,0.8291214055358949,0.09955659994694771,0.530206250170147,4.834210230218748,2.2627323894177651e-10,106.35803170764119
0.1,1000,62.83185307179586,10.689295894946174,0.7904470965789625,0.12457174346312667,0.5003235719773066,4.33447248927967,1.1461509029326656e-10,91.24719445507942
0.1,1000,62.83185307179586,12.760631755760757,0.7433513592387921,0.15624820699639447,0.4982109758532241,4.025914978158939,1.0440916355013948e-08,78.58918396589743
0.1,1000,62.83185307179586,15.233344123546667,0.6852495325488875,0.19624719685280348,0.5259472151745952,3.913761703477251,2.5380416593429066e-08,71.09512225817473
0.1,1000,62.83185307179586,18.185210389887885,0.6140388336482151,0.2458808465972043,0.5763554108879126,3.9887356985763214,1.757206935760297e-09,82.83144272192051
0.1,1000,62.83185307179586,21.70907938811084,0.5290402454889468,0.30542533156406737,0.6459336092111809,4.230326443063636,5.544750415467233e-10,97.55975029142417
0.1,1000,62.83185307179586,25.91579188665106,0.43232433646543306,0.37320964390809436,0.7350536707394753,4.624549221797328,3.6444007745155296e-09,115.57268276628506
0.1,1000,62.83185307179586,30.93766700581654,0.32997147690986633,0.4448920139125016,0.8457191324786828,5.169498435827719,6.619888690803232e-08,137.35261393909406
0.1,1000,62.83185307179586,36.932664220683186,0.23208240911000091,0.5138214178522644,0.9810213382314124,5.873695676682779,1.2030853636068863e-08,163.5450341800072
0.1,1000,62.83185307179586,44.0893518629341,0.14997595292143065,0.5732732735862548,1.1450177065664453,6.754181632218002,3.492051001568747e-09,194.95542254346773
0.1,1000,62.83185307179586,52.6328384022996,0.09133597031327093,0.6188190375297917,1.3427578207745836,7.835624158424638,2.882809119230484e-09,232.55920695055306
0.1,1000,62.83185307179586,62.83185307179586,0.059158926268802904,0.6456370471136404,1.5804264953722709,9.150270311660899,9.61075777229821e-10,277.5376688612794
0.1,1000,125.66370614359172,2.1709079388110846,0.9446820608360194,0.028685691494704308,3.687143872605904,35.721827266647175,4.130082290090952e-07,781.2020814911358
