tau,P,omega,omega_0,fidelity,epsilon,Teff,intH,DintH,normax
#REFERENCE:0.01584209038101846,0.5991631917850427,0.6444359434867316,0.15433364571119057
0.1,5500,62.83185307179586,2.1709079388110846,0.01591546846987073,0.6105043989554088,2.871733049378794,84.22473682498398,0.00024099060042582924,3383.7304253934367
0.1,5500,62.83185307179586,2.591579188665106,0.0011121260440939535,0.7622798884785186,3.748874380431006,104.12715394514345,0.0008481571586066098,3087.309046585505
0.1,5500,62.83185307179586,3.0937667005816545,0.0036360368479776326,0.7818355917133487,5.910411535658562,153.75359385699235,0.0009811285962655347,5996.917828375778
0.1,5500,62.83185307179586,3.6932664220683193,0.0016784742745272366,0.7463621698141263,10.030138676959345,251.0974415352926,0.002152665354515193,11799.188905060013
0.1,5500,62.83185307179586,4.408935186293411,0.0012986605057924742,0.7257316119270901,17.691228616502823,430.5229570374222,0.003204292973621698,22026.561011648548
0.1,5500,62.83185307179586,5.263283840229962,0.00017435098252863265,0.6837051925188434,31.756283365156136,765.4211102043729,0.020480765899587076,39839.488966754565
0.1,5500,62.83185307179586,6.283185307179586,0.004952038267128996,0.7684839982634699,56.39002213581172,1355.4130333828014,0.027872833237901795,70630.37333629846
0.1,5500,62.83185307179586,7.500719855274338,0.005436413627275858,0.719577586715624,98.9076236503391,2375.1579073947455,0.08810823610883745,123589.75562862206
0.1,5500,62.83185307179586,8.954184159270191,0.005206326811834837,0.7496757863433173,171.9045193042183,4126.690380724945,0.016124869889324045,214370.7633615022
0.1,5500,62.83185307179586,10.689295894946174,0.005741308202446381,0.6668515842271371,296.8550338773927,7125.203293499262,0.013566958614762929,369625.5093484457
0.1,5500,62.83185307179586,12.760631755760757,0.00492817940495234,0.7202834350180578,510.3253671212749,12248.244337747241,0.060517171537264096,634720.6644526457
0.1,5500,62.83185307179586,15.233344123546667,0.0018629034792919277,0.7492049215386355,874.5600589064077,20989.724883339728,0.19425973335819435,1086870.1987974173
0.1,5500,62.83185307179586,18.185210389887885,0.004069965189610027,0.768830884265461,1495.4891379812875,35891.91624677998,0.27703429019311443,1857466.1726382212
0.1,5500,62.83185307179586,21.70907938811084,0.0031242668236072147,0.7385691343289358,2553.3515849021474,61280.55561873776,0.3808431009706937,3170084.3951088907
0.1,5500,62.83185307179586,25.91579188665106,0.0018485287345476234,0.749501027061437,4354.833685470939,104516.08867281029,0.06906123665314208,5405136.796607135
0.1,5500,62.83185307179586,30.93766700581654,0.005420608682887174,0.7201930818650211,7421.7449097522685,178121.9016214812,0.10198826971463859,9209862.296292972
0.1,5500,62.83185307179586,36.932664220683186,0.0021300337949213422,0.7147884024447495,12641.883397559377,303405.19304014795,0.006654022494331002,15685456.678350912
0.1,30000,62.83185307179586,44.0893518629341,0.00019120801165973744,0.72297753083952,21525.69971637596,516616.74519304774,0.08335393527522683,26705457.439814262
0.1,30000,62.83185307179586,52.6328384022996,0.0018941357293711005,0.699710670023814,36642.94993515809,879430.7958288228,0.14270410151220858,45457209.58261024
0.1,30000,62.83185307179586,62.83185307179586,0.0007327477380066496,0.65106868212564,62365.55811324294,1496773.391876181,0.22321794438175857,77363447.72550006
0.1,5500,125.66370614359172,2.1709079388110846,0.0334524000988932,0.5805259011460102,4.739765274701609,122.0642492321228,0.0037691174665026696,7902.006263169216
0.1,5500,125.66370614359172,2.591579188665106,0.0043594185129686965,0.6580984155925511,5.022485860882656,131.572595837046,0.04090003335617173,6606.301214058576
0.1,5500,125.66370614359172,3.0937667005816545,0.007236814293487546,0.7070750897812161,6.776587232544011,174.70749537260355,0.12457806135147234,6146.352783860407
0.1,5500,125.66370614359172,3.6932664220683193,0.00023613363100485484,0.8043900747542398,10.859565742167325,270.90596041729947,0.09305742381031282,11908.503363919655
0.1,5500,125.66370614359172,4.408935186293411,0.0016344108954196564,0.9014063555455348,18.582176425707196,456.32459302760213,0.041398023862939226,22091.619931767826
0.1,5500,125.66370614359172,5.263283840229962,0.000994550870319505,0.8747373203246409,32.63744772984107,791.9800862961321,0.20689535127860242,39834.67939159757
0.1,5500,125.66370614359172,6.283185307179586,0.0037417905787322267,0.7876613122448873,57.329056010255805,1381.4385632357853,0.8046218086040376,70503.59034727013
0.1,5500,125.66370614359172,7.500719855274338,0.0017938376307051823,0.7623639655308033,100.09483069489777,2405.5563093170767,2.0557484220917104,123246.40536974104
