tau,P,omega,omega_0,fidelity,epsilon,Teff,intH,DintH,normax
#REFERENCE:3.988001125313737e-05,0.8028300624773725,0.00046564493494203035,0.7166855240408052
0.1,1000,62.83185307179586,2.1709079388110846,0.0002473119533376565,0.7698055192717441,1.8436469457672648,123.9088163331033,8.777420313984638e-07,2001.050788147277
0.1,1000,62.83185307179586,2.591579188665106,0.0001919617059935651,0.7657033261962269,1.5447735529775621,104.76651002104975,4.764845080274656e-07,1687.0834116016738
0.1,1000,62.83185307179586,3.0937667005816545,0.00015582753736911328,0.7667906929425229,1.294489950771821,89.22006323833487,7.306960915430192e-07,1424.0799605585198
0.1,1000,62.83185307179586,3.6932664220683193,0.000114009991094696,0.7757145569607077,1.0849236824112107,76.907603012248,8.057076094272534e-07,1203.767850358874
0.1,1000,62.83185307179586,4.408935186293411,7.758538565701825e-05,0.7883653598209387,0.9094830473931617,67.59463934467064,8.247596038830695e-07,1019.2173218083693
0.1,1000,62.83185307179586,5.263283840229962,5.0228818964173814e-05,0.8012518202702693,0.7626497873396345,61.13825480062159,2.728274523303456e-08,1003.2032865128754
0.1,1000,62.83185307179586,6.283185307179586,3.098514375946752e-05,0.8125585412226208,0.6398055307762306,57.43052624715082,1.5197856886862695e-09,1056.2052896917014
0.1,1000,62.83185307179586,7.500719855274338,1.8167185036344405e-05,0.821481635187117,0.5370865897555153,56.35043637360051,9.492145642760642e-09,1171.481939822658
0.1,1000,62.83185307179586,8.954184159270191,1.0271326532079527e-05,0.8280391268937438,0.4512624986933175,57.765280215717084,1.1856730299082461e-08,1344.6785329875042
0.1,1000,62.83185307179586,10.689295894946174,5.865762498234825e-06,0.8342089907182328,0.37963456199208245,61.57683989983507,1.088999000089095e-08,1573.9073308118195
0.1,1000,62.83185307179586,12.760631755760757,3.4807363496557704e-06,0.8457117870380695,0.31995121573601654,67.76678499151878,1.1790921621584574e-08,1861.0299255201805
0.1,1000,62.83185307179586,15.233344123546667,1.9134365952812357e-06,0.869381366478409,0.27033766012381116,76.41660873161977,1.3704393114808246e-08,2211.6207904150046
0.1,1000,62.83185307179586,18.185210389887885,1.1793113431680707e-06,0.896370105030845,0.22923768802088088,87.71080639917479,8.40043335756689e-09,2634.609577572329
0.1,1000,62.83185307179586,21.70907938811084,2.479955589672682e-06,0.8846645496541834,0.19536620312148892,101.93741978400342,1.676862474951097e-07,3142.0699661656445
0.1,1000,62.83185307179586,25.91579188665106,1.57511608014064e-05,0.8252651642016423,0.16767156799704827,119.4923218281841,2.912086295921668e-08,3749.2555295334887
0.1,1000,62.83185307179586,30.93766700581654,1.761133403912351e-05,0.840142467056642,0.14530800809000155,140.88832971238918,1.5966290226955162e-06,4474.863241990266
0.1,1000,62.83185307179586,36.932664220683186,7.97708434631985e-06,0.8699331234815795,0.1276207562106565,166.76887942467255,6.640730084209716e-07,5341.491840646491
0.1,1000,62.83185307179586,44.0893518629341,7.232310905916094e-06,0.8433901544155512,0.11415402727241822,197.92623949162126,2.8488971653233922e-06,6376.276630059654
0.1,1000,62.83185307179586,52.6328384022996,2.2850113166643086e-06,0.8661004480632922,0.10472497849295898,235.32469630216133,1.3452509469248602e-06,7611.699046409112
0.1,1000,62.83185307179586,62.83185307179586,6.645405332729959e-06,0.8840192170548776,0.1,280.1294962147304,5.301990194044823e-08,9086.583159507321
0.1,1000,125.66370614359172,2.1709079388110846,0.0013450904124766526,0.7111766326718338,3.6856439948224855,246.05231974733607,2.7278220221260156e-06,3935.2721528298457
0.1,1000,125.66370614359172,2.591579188665106,0.0007444278587863585,0.7344786376288284,3.0875773926489978,206.93668190949947,1.9126787138067325e-06,3307.337399738639
0.1,1000,125.66370614359172,3.0937667005816545,0.00048176036860312065,0.750316460447762,2.586628327147091,174.62025984580364,2.211276466057441e-06,2781.330497652331
0.1,1000,125.66370614359172,3.6932664220683193,0.00034220496331449336,0.7639904298753639,2.1670398073073907,148.21170153656038,1.9997659781822996e-06,2340.70627725304
0.1,1000,125.66370614359172,4.408935186293411,0.0002463050961228905,0.7777920984450857,1.8156139862646192,127.02170169517524,1.721790537421853e-06,1971.60522015203
0.1,1000,125.66370614359172,5.263283840229962,0.00017292776128091013,0.7921630869950335,1.521297028673507,110.51533762819896,1.1854568119019417e-06,1740.9553583364816
0.1,1000,125.66370614359172,6.283185307179586,0.00011586433120343367,0.8069655787514,1.274831428643404,98.27201401138723,1.2421547766696088e-07,1869.4305469338176
0.1,1000,125.66370614359172,7.500719855274338,7.295775776823946e-05,0.8216076553613169,1.0684648163696058,89.97052484092823,5.084846511203543e-07,2097.6919397370093
0.1,1000,125.66370614359172,8.954184159270191,4.346210066264012e-05,0.8345397033096343,0.895706145831795,85.39224425535954,8.141617306821017e-08,2420.5652584067884
0.1,1000,125.66370614359172,10.689295894946174,2.6424749638543074e-05,0.8428034256262685,0.7511215172367139,84.41966531230325,1.1600961378781212e-06,2837.4660197088406
0.1,1000,125.66370614359172,12.760631755760757,1.9962869905300235e-05,0.8425103193804019,0.6301633001328183,87.02121070282823,5.5245270220183266e-08,3354.949877023765
0.1,1000,125.66370614359172,15.233344123546667,2.2997728997519075e-05,0.8318708301087989,0.5290271357412346,93.23379915399994,7.358691212236956e-08,3984.957420818871
