tau,P,omega,omega_0,fidelity,epsilon,Teff,intH,DintH,normax
#REFERENCE:3.988001125313737e-05,0.8028300624773725,0.00046564493494203035,0.7166855240408052
0.1,1000,62.83185307179586,2.1709079388110846,0.00010925278110153,0.7896702442625204,1.843646945767265,125.32728889734655,2.1135638190566254e-05,1992.3083520813707
0.1,1000,62.83185307179586,2.591579188665106,7.778437322205396e-05,0.8032058321857269,1.5447735529775624,106.84281132026489,2.253424420686113e-06,1679.6886036430044
0.1,1000,62.83185307179586,3.0937667005816545,5.643719413190486e-05,0.8155314304911606,1.2944899507718213,92.17598677964604,2.382894665702204e-06,1591.2400016353943
0.1,1000,62.83185307179586,3.6932664220683193,4.122757203129289e-05,0.826867334309073,1.0849236824112105,80.88343028759533,2.2491495676470252e-05,1629.1296294784097
0.1,1000,62.83185307179586,4.408935186293411,2.999979604022834e-05,0.8377225272150576,0.9094830473931615,72.58406977674072,1.9691005368662026e-05,1723.565932155791
0.1,1000,62.83185307179586,5.263283840229962,2.188448526845149e-05,0.8481223823450331,0.7626497873396341,66.98676987872584,2.5344788245515978e-05,1876.9343437526702
0.1,1000,62.83185307179586,6.283185307179586,1.6569197943866542e-05,0.8569865837451929,0.6398055307762305,63.90546231151892,1.4516142452468947e-05,2093.1750025220267
0.1,1000,62.83185307179586,7.500719855274338,1.3805940732120072e-05,0.8616664675824711,0.5370865897555152,63.25357180722076,8.004189424081334e-07,2391.7891592442015
0.1,1000,62.83185307179586,8.954184159270191,1.3592291751223855e-05,0.8581702896533826,0.45126249885568076,65.03694909296215,3.8474301788937737e-07,2816.0965917234507
0.1,1000,62.83185307179586,10.689295894946174,1.739247642154053e-05,0.8433477990516702,0.3796345619888336,69.34949663108407,8.67357055403813e-07,3333.2075948439583
0.1,1000,62.83185307179586,12.760631755760757,2.8822837868556464e-05,0.8205466288658603,0.3199512157360164,76.36620031517212,1.068523033609381e-06,3956.4069059765175
0.1,1000,62.83185307179586,15.233344123546667,4.078880964589345e-05,0.8064125000094517,0.27033766012381105,86.327251667169,8.956651385005898e-07,4704.828965383115
0.1,1000,62.83185307179586,18.185210389887885,2.7262091074816834e-05,0.8242587291262118,0.22923768802088088,99.5188662983063,7.505109920202813e-07,5601.721619901076
