tau,omega_0,omega,intH,DintH,normax,Teff
0.1,6.283185307179586,628.3185307179585,162.42929231074248,1.207432110950947,3422.6547897472597,6.6075531749119
0.12589254117941673,6.283185307179586,499.0911493497503,162.44109585920788,1.2255086686385823,2725.6653460070484,6.607862330181907
0.15848931924611134,6.283185307179586,396.4421916294999,162.46482928761228,1.2230704700085084,2172.0269523113366,6.608300207673153
0.19952623149688797,6.283185307179586,314.90522624728595,162.50535097271242,1.174548340311888,1732.2563453337548,6.608921650238358
0.251188643150958,6.283185307179586,250.13811247045714,162.55610733992933,1.1510810575934183,1382.9341366063352,6.609847940766518
0.31622776601683794,6.283185307179586,198.691765315922,162.59727375392924,1.1790479959277889,1105.4576446814817,6.611233813523667
0.3981071705534973,6.283185307179586,157.82647919764753,162.670683732865,1.1736361225582357,885.0502345054592,6.6132799989352415
0.5011872336272724,6.283185307179586,125.3660286138159,162.7904239306683,1.1551517125222404,709.9744077119136,6.616403850079071
0.6309573444801934,6.283185307179586,99.58177620320615,162.94830902651867,1.14120432777176,570.9067380231139,6.621171598450798
0.7943282347242815,6.283185307179586,79.10061650220122,163.18260201653538,1.1135719381266256,460.44136478845036,6.628512128639796
1.0,6.283185307179586,62.83185307179586,163.54140590547303,0.45622969666240465,372.69560387907836,6.644871461641619
1.2589254117941675,6.283185307179586,49.90911493497502,164.04217275184737,0.05520765840120134,302.99667327901875,6.657541452077209
1.584893192461114,6.283185307179586,39.64421916294997,164.88311828676208,0.3494992134816073,247.63285036659863,6.685384678973967
1.9952623149688797,6.283185307179586,31.490522624728598,166.1419036076971,0.7876698063590482,203.65580910339304,6.730361620983344
2.511886431509581,6.283185307179586,25.013811247045705,168.10549653317378,1.2804436105665218,168.72361086630704,6.802277936675994
3.1622776601683795,6.283185307179586,19.8691765315922,171.19139998202232,2.148024321848254,140.97598761615504,6.921718729300597
3.981071705534973,6.283185307179586,15.782647919764754,176.1244160076516,2.8119544036027264,118.93527578473798,7.122988712156508
5.011872336272725,6.283185307179586,12.536602861381587,184.32795935792464,2.165506704055596,101.42772526082268,7.470889626858219
6.309573444801933,6.283185307179586,9.958177620320615,197.49490119369563,1.571677845753256,87.52099290616663,8.027272937159026
7.943282347242818,6.283185307179586,7.910061650220119,218.60121657682274,0.8140833606537078,76.47449191650297,8.907461212645174
10.0,6.283185307179586,6.283185307179586,254.20346639210484,0.41842836225136565,67.71254508464452,10.357927927251936
0.1,12.566370614359172,628.3185307179585,114.55470542750784,3.0350288297343626,3726.7033454172506,5.01707664409919
0.12589254117941673,12.566370614359172,499.0911493497503,114.57267063252766,3.406544331139078,2962.1808807946713,5.017425762651313
0.15848931924611134,12.566370614359172,396.4421916294999,114.60699694759158,3.9684525206729155,2354.902951425195,5.017997903889725
0.19952623149688797,12.566370614359172,314.90522624728595,114.6276794670423,4.904527446823225,1872.529780817351,5.018681738107065
0.251188643150958,12.566370614359172,250.13811247045714,114.6826796366037,4.705664206786175,1489.3732191816177,5.019894745025784
0.31622776601683794,12.566370614359172,198.691765315922,114.79887719605131,5.28252646545107,1185.0287516151602,5.021820961988163
0.3981071705534973,12.566370614359172,157.82647919764753,114.87277914293364,4.681906798529889,943.2888767016697,5.024852349338047
0.5011872336272724,12.566370614359172,125.3660286138159,115.04510923629653,4.523724727085774,751.2799875945849,5.029639602070917
0.6309573444801934,12.566370614359172,99.58177620320615,115.30868627525369,2.8638688686783955,598.7767891985252,5.037131287263753
0.7943282347242815,12.566370614359172,79.10061650220122,115.70291183276986,2.7172272508981488,477.6577383138589,5.049818489295449
1.0,12.566370614359172,62.83185307179586,116.30876845795063,3.1977868403145857,381.4725017772595,5.070443872410108
1.2589254117941675,12.566370614359172,49.90911493497502,117.25656057847226,3.2774488393455035,305.0983902708339,5.103792721634536
1.584893192461114,12.566370614359172,39.64421916294997,118.72794166336183,6.4740419980447825,244.46745976204042,5.156344639746939
1.9952623149688797,12.566370614359172,31.490522624728598,121.13262073653709,5.453011805327373,196.34973022446596,5.242777966474522
2.511886431509581,12.566370614359172,25.013811247045705,125.10938986430645,6.280832298018339,158.18095228907185,5.390401362917807
3.1622776601683795,12.566370614359172,19.8691765315922,131.52073356061032,4.180403721974765,127.92571597020566,5.630049411480663
3.981071705534973,12.566370614359172,15.782647919764754,141.54425410075405,1.4655349939346864,103.96856946833547,6.007792522366592
5.011872336272725,12.566370614359172,12.536602861381587,157.81905859568778,0.25209493958266194,85.02730523310473,6.620450620593569
6.309573444801933,12.566370614359172,9.958177620320615,184.26376893215934,0.09128951570177754,70.0837646034016,7.619543504833206
7.943282347242818,12.566370614359172,7.910061650220119,219.54745050375047,0.04750715779319104,58.328491159269255,8.97476906147584
10.0,12.566370614359172,6.283185307179586,265.55369057573347,0.04701625118103794,50.882757591790764,10.770813943419586
0.1,25.132741228718345,628.3185307179585,145.8231384319191,19.679445070883336,7130.131514936198,7.125959609848596
0.12589254117941673,25.132741228718345,499.0911493497503,145.84673197915532,19.794866334076012,5664.252640524422,7.126801113635848
0.15848931924611134,25.132741228718345,396.4421916294999,145.8920178642318,18.088594943418645,4499.8661337490485,7.127959867349961
0.19952623149688797,25.132741228718345,314.90522624728595,145.92967537167019,20.894389919604343,3574.9641659204763,7.129525508861953
0.251188643150958,25.132741228718345,250.13811247045714,146.01099155074837,20.38566054091453,2840.2923325940064,7.132049476182886
0.31622776601683794,25.132741228718345,198.691765315922,146.12691676383054,20.87841828677496,2256.726676484585,7.136390589912134
