tau,intH,DintH,normax,epsilon,fidelity
0.01,0.2897227789493496,1.5981103749368453e-09,43.81780460041329,0.5999919936806875,0.015626562770108394
0.010115794542598982,0.29307761061624416,1.616615621534076e-09,43.81780460041329,0.599991805160038,0.015626601578585867
0.010232929922807542,0.29647128940297546,1.6353351884462741e-09,43.81780460041329,0.5999916122230368,0.01562664132470734
0.010351421666793436,0.2999042651379903,1.6542714767475708e-09,43.81780460041329,0.5999914147475661,0.015626682051693392
0.010471285480508996,0.30337699285850417,1.6734270383246194e-09,43.81780460041329,0.5999912126278132,0.015626723796644978
0.010592537251772886,0.30688993287081473,1.692804409451562e-09,43.81780460041329,0.5999910057735427,0.01562676654992985
0.010715193052376065,0.31044355081131575,1.7124061607717497e-09,43.81780460041329,0.599990794050395,0.01562681035989101
0.010839269140212033,0.3140383177082157,1.732234890250428e-09,43.81780460041329,0.599990577354911,0.015626855261832138
0.01096478196143185,0.31767471004397363,1.7522932242589398e-09,43.81780460041329,0.5999903555805827,0.015626901249190913
0.01109174815262401,0.3213532098184543,1.7725838234294161e-09,43.81780460041329,0.5999901285914577,0.01562694837740033
0.011220184543019636,0.32507430461281867,1.7931093775590268e-09,43.81780460041329,0.5999898962585818,0.015626996673131114
0.01135010815672315,0.32883848765415113,1.8138726055015597e-09,43.81780460041329,0.5999896584924471,0.01562704613760244
0.01148153621496883,0.3326462578808366,1.8348762152687811e-09,43.81780460041329,0.5999894151272783,0.01562709682699172
0.011614486138403426,0.3364981200086941,1.856123125316099e-09,43.81780460041329,0.5999891660436343,0.01562714877964986
0.011748975549395297,0.3403945845978767,1.8776159727484573e-09,43.81780460041329,0.5999889111297743,0.015627201985208686
0.011885022274370183,0.3443361681205449,1.8993577869351463e-09,43.81780460041329,0.5999886502131595,0.01562725650996059
0.012022644346174132,0.3483233930293256,1.921351266346953e-09,43.81780460041329,0.5999883831665843,0.015627312391877184
0.012161860006463679,0.35235678782656116,1.943599465398238e-09,43.81780460041329,0.5999881098653991,0.01562736962270964
0.012302687708123818,0.3564368871343637,1.9661052864982168e-09,43.81780460041329,0.5999878301352053,0.015627428273447385
0.01244514611771385,0.36056423176547664,1.988871761726685e-09,43.81780460041329,0.599987543831149,0.015627488381987107
0.012589254117941675,0.36473936879496044,2.0119017627015165e-09,43.81780460041329,0.5999872508162756,0.015627549937345997
0.012735030810166616,0.3689628516327059,2.0351985371503192e-09,43.81780460041329,0.5999869509120294,0.015627613036176095
0.012882495516931342,0.37323524009678866,2.058765025537805e-09,43.81780460041329,0.5999866439664017,0.0156276776902288
0.013031667784522994,0.37755710048767166,2.0826044009984723e-09,43.81780460041329,0.599986329822063,0.015627743902071136
0.013182567385564075,0.3819290056632686,2.1067197715062685e-09,43.81780460041329,0.5999860082858052,0.015627811785045336
0.01333521432163324,0.38635153511487486,2.1311144891974707e-09,43.81780460041329,0.5999856791974555,0.015627881328070182
0.013489628825916533,0.390825275043979,2.155791578020358e-09,43.81780460041329,0.5999853424094371,0.015627952552415142
0.013645831365889245,0.395350818439963,2.180754468932705e-09,43.81780460041329,0.5999849976729678,0.015628025585198567
0.013803842646028852,0.39992876515870224,2.206006415516812e-09,43.81780460041329,0.5999846448600181,0.015628100395458217
0.013963683610559377,0.404559722002075,2.231550765897407e-09,43.81780460041329,0.599984283773564,0.015628177020896698
0.01412537544622754,0.40924430279839524,2.2573909059294545e-09,43.81780460041329,0.5999839141765012,0.015628255597756113
0.01428893958511103,0.4139831284837734,2.283530260716038e-09,43.81780460041329,0.5999835359181803,0.015628336067815815
0.014454397707459272,0.4187768271844209,2.3099723507700315e-09,43.81780460041329,0.5999831487693154,0.015628418533471872
0.014621771744567183,0.4236260342999083,2.3367205133741423e-09,43.81780460041329,0.5999827525234327,0.015628503060826252
0.014791083881682071,0.42853139258738626,2.3637784617039706e-09,43.81780460041329,0.5999823469894511,0.01562858962658078
0.014962356560944336,0.43349355224678265,2.3911497841434468e-09,43.81780460041329,0.5999819318942996,0.01562867839174013
0.01513561248436208,0.43851317100698517,2.418837994700232e-09,43.81780460041329,0.5999815070632588,0.01562876932379856
0.015310874616820304,0.44359091421302366,2.446846757435568e-09,43.81780460041329,0.5999810722648138,0.015628862494687798
0.01548816618912481,0.4487274549142598,2.4751799074978e-09,43.81780460041329,0.5999806272216823,0.01562895801568939
0.015667510701081494,0.45392347395360033,2.5038412016474554e-09,43.81780460041329,0.5999801717539059,0.01562905584480058
0.015848931924611134,0.45917966005774014,2.5328343163056807e-09,43.81780460041329,0.599979705540829,0.015629156177946867
0.016032453906900418,0.4644967099284546,2.5621630923670924e-09,43.81780460041329,0.5999792284030894,0.01562925894539877
0.0162181009735893,0.4698753283349444,2.5918315437649733e-09,43.81780460041329,0.5999787400235658,0.015629364300353974
0.016405897731995397,0.47531622820725383,2.621843537523212e-09,43.81780460041329,0.599978240167099,0.015629472263884375
0.016595869074375606,0.4808201307307671,2.652203121185359e-09,43.81780460041329,0.5999777285596491,0.015629582917658744
0.016788040181225608,0.4863877654418026,2.6829141859530115e-09,43.81780460041329,0.5999772049273197,0.015629696354409642
0.016982436524617443,0.49201987032431005,2.7139808668648346e-09,43.81780460041329,0.5999766689790166,0.015629812615747085
0.017179083871575886,0.4977171919076917,2.7454072166685495e-09,43.81780460041329,0.5999761204154557,0.015629931804805836
0.017378008287493755,0.5034804853657519,2.7771975350931316e-09,43.81780460041329,0.5999755589502843,0.015630053978564446
0.01757923613958693,0.5093105146167962,2.809355965742444e-09,43.81780460041329,0.5999749842661142,0.015630179219093873
