J;check;degenerate
[-1 -1 -1 -1 -1 -1];0.0;False
[-1 -1 -1 -1 -1  1];0.1;False
[-1 -1 -1 -1  1 -1];0.30000000000000004;False
[-1 -1 -1 -1  1  1];0.09090909090909091;False
[-1 -1 -1  1 -1 -1];0.5555555555555556;False
[-1 -1 -1  1 -1  1];0.30000000000000004;False
[-1 -1 -1  1  1 -1];0.1;False
[-1 -1 -1  1  1  1];0.2222222222222222;True
[-1 -1  1 -1 -1 -1];0.09090909090909091;False
[-1 -1  1 -1 -1  1];0.30000000000000004;False
[-1 -1  1 -1  1 -1];0.1;False
[-1 -1  1 -1  1  1];0.0;False
[-1 -1  1  1 -1 -1];0.2222222222222222;True
[-1 -1  1  1 -1  1];0.1;False
[-1 -1  1  1  1 -1];0.30000000000000004;False
[-1 -1  1  1  1  1];0.5555555555555556;False
[-1  1 -1 -1 -1 -1];0.30000000000000004;False
[-1  1 -1 -1 -1  1];0.5555555555555556;False
[-1  1 -1 -1  1 -1];0.2222222222222222;True
[-1  1 -1 -1  1  1];0.1;False
[-1  1 -1  1 -1 -1];0.1;False
[-1  1 -1  1 -1  1];0.0;False
[-1  1 -1  1  1 -1];0.09090909090909091;False
[-1  1 -1  1  1  1];0.30000000000000004;False
[-1  1  1 -1 -1 -1];0.1;False
[-1  1  1 -1 -1  1];0.2222222222222222;True
[-1  1  1 -1  1 -1];0.5555555555555556;False
[-1  1  1 -1  1  1];0.30000000000000004;False
[-1  1  1  1 -1 -1];0.30000000000000004;False
[-1  1  1  1 -1  1];0.09090909090909091;False
[-1  1  1  1  1 -1];0.0;False
[-1  1  1  1  1  1];0.1;False
[ 1 -1 -1 -1 -1 -1];0.1;False
[ 1 -1 -1 -1 -1  1];0.2222222222222222;True
[ 1 -1 -1 -1  1 -1];0.5555555555555556;False
[ 1 -1 -1 -1  1  1];0.30000000000000004;False
[ 1 -1 -1  1 -1 -1];0.30000000000000004;False
[ 1 -1 -1  1 -1  1];0.09090909090909091;False
[ 1 -1 -1  1  1 -1];0.0;False
[ 1 -1 -1  1  1  1];0.1;False
[ 1 -1  1 -1 -1 -1];0.30000000000000004;False
[ 1 -1  1 -1 -1  1];0.5555555555555556;False
[ 1 -1  1 -1  1 -1];0.2222222222222222;True
[ 1 -1  1 -1  1  1];0.1;False
[ 1 -1  1  1 -1 -1];0.1;False
[ 1 -1  1  1 -1  1];0.0;False
[ 1 -1  1  1  1 -1];0.09090909090909091;False
[ 1 -1  1  1  1  1];0.30000000000000004;False
[ 1  1 -1 -1 -1 -1];0.09090909090909091;False
[ 1  1 -1 -1 -1  1];0.30000000000000004;False
[ 1  1 -1 -1  1 -1];0.1;False
[ 1  1 -1 -1  1  1];0.0;False
[ 1  1 -1  1 -1 -1];0.2222222222222222;True
[ 1  1 -1  1 -1  1];0.1;False
[ 1  1 -1  1  1 -1];0.30000000000000004;False
[ 1  1 -1  1  1  1];0.5555555555555556;False
[ 1  1  1 -1 -1 -1];0.0;False
[ 1  1  1 -1 -1  1];0.1;False
[ 1  1  1 -1  1 -1];0.30000000000000004;False
[ 1  1  1 -1  1  1];0.09090909090909091;False
[ 1  1  1  1 -1 -1];0.5555555555555556;False
[ 1  1  1  1 -1  1];0.30000000000000004;False
[ 1  1  1  1  1 -1];0.1;False
[1 1 1 1 1 1];0.2222222222222222;True
