tau,intH,DintH,normax,epsilon,fidelity
0.01,0.6644535111760299,2.7641670131598557e-12,66.8294234647086,0.801681511172634,4.0464681916327324e-05
0.010115794542598982,0.6721475202165215,2.796174343499061e-12,66.8294234647086,0.8016817772934043,4.046451964291403e-05
0.010232929922807542,0.6799306216827732,2.8285395571169426e-12,66.8294234647086,0.8016820496590031,4.0464353747926816e-05
0.010351421666793436,0.687803847216453,2.8613061356028147e-12,66.8294234647086,0.8016823283801302,4.046418407458314e-05
0.010471285480508996,0.6957682404050783,2.894438723801459e-12,66.8294234647086,0.8016826136102847,4.0464010522413064e-05
0.010592537251772886,0.7038248569203389,2.9279412553338824e-12,66.8294234647086,0.8016829055460032,4.0463833124848015e-05
0.010715193052376065,0.7119747646580277,2.961858711037716e-12,66.8294234647086,0.8016832042997868,4.046365169438722e-05
0.010839269140212033,0.7202190438795872,2.9961415106864253e-12,66.8294234647086,0.8016835100288906,4.046346612359359e-05
0.01096478196143185,0.728558787355299,3.0308349315791728e-12,66.8294234647086,0.8016838229279206,4.0463276394074574e-05
0.01109174815262401,0.7369951005091266,3.0659442846125377e-12,66.8294234647086,0.8016841431548585,4.046308239786945e-05
0.011220184543019636,0.7455291015652417,3.1014320818023404e-12,66.8294234647086,0.8016844708588574,4.046288397497872e-05
0.01135010815672315,0.7541619216962394,3.137344813398924e-12,66.8294234647086,0.8016848062307973,4.0462681070839496e-05
0.01148153621496883,0.7628947051730783,3.173674090387979e-12,66.8294234647086,0.8016851494773358,4.0462473638356454e-05
0.011614486138403426,0.7717286095167485,3.2104231145540455e-12,66.8294234647086,0.8016855007378209,4.046226147687383e-05
0.011748975549395297,0.7806648056517029,3.247598484283783e-12,66.8294234647086,0.8016858602058512,4.046204449151221e-05
0.011885022274370183,0.7897044780610593,3.285203650389419e-12,66.8294234647086,0.8016862281273178,4.046182270419133e-05
0.012022644346174132,0.7988488249436047,3.3232447233666343e-12,66.8294234647086,0.8016866046400587,4.046159585807807e-05
0.012161860006463679,0.8080990583726125,3.361725867229398e-12,66.8294234647086,0.801686989943942,4.046136383933053e-05
0.012302687708123818,0.8174564044565055,3.400652972244825e-12,66.8294234647086,0.8016873843170815,4.0461126709837614e-05
0.01244514611771385,0.8269221035013705,3.440030415879187e-12,66.8294234647086,0.8016877879007736,4.046088416867631e-05
0.012589254117941675,0.8364974101753639,3.4798802701170237e-12,66.8294234647086,0.8016882009094148,4.0460636104111884e-05
0.012735030810166616,0.8461835936750128,3.520158719638039e-12,66.8294234647086,0.8016886236415854,4.0460382571750005e-05
0.012882495516931342,0.8559819378934495,3.5609210824699526e-12,66.8294234647086,0.8016890562453702,4.0460123261431575e-05
0.013031667784522994,0.8658937415905857,3.602154439666253e-12,66.8294234647086,0.8016894989664948,4.0459858078076875e-05
0.013182567385564075,0.8759203185652665,3.643865242229866e-12,66.8294234647086,0.8016899521003131,4.0459587022136805e-05
0.01333521432163324,0.8860629978294086,3.6860757739035684e-12,66.8294234647086,0.8016904158151068,4.045930979148881e-05
0.013489628825916533,0.8963231237841626,3.728741534964443e-12,66.8294234647086,0.801690890406794,4.0459026353610897e-05
0.013645831365889245,0.9067020563981109,3.771935790374296e-12,66.8294234647086,0.801691376132658,4.045873658046523e-05
0.013803842646028852,0.917201171387529,3.815595205785595e-12,66.8294234647086,0.8016918732005511,4.045844020489464e-05
0.013963683610559377,0.9278218603987359,3.859777935092366e-12,66.8294234647086,0.8016923819784002,4.045813732277089e-05
0.01412537544622754,0.9385655311925569,3.904471462535782e-12,66.8294234647086,0.8016929026468601,4.045782754841976e-05
0.01428893958511103,0.9494336078309187,3.949683255558304e-12,66.8294234647086,0.8016934355419012,4.0457510871372016e-05
0.014454397707459272,0.960427530865607,3.995418711453874e-12,66.8294234647086,0.8016939809359629,4.045718710578338e-05
0.014621771744567183,0.9715487575292129,4.04170224171203e-12,66.8294234647086,0.801694539111309,4.045685607293294e-05
0.014791083881682071,0.9827987619282833,4.0884842644121726e-12,66.8294234647086,0.801695110409526,4.045651770281556e-05
0.014962356560944336,0.9941790352387172,4.135825925168698e-12,66.8294234647086,0.8016956950914511,4.0456171729211425e-05
0.01513561248436208,1.0056910859034138,4.183716713996796e-12,66.8294234647086,0.8016962935301298,4.0455818112838974e-05
0.015310874616820304,1.0173364398322202,4.2321620315785395e-12,66.8294234647086,0.8016969060077419,4.0455456598983366e-05
0.01548816618912481,1.029116640604185,4.281167888459721e-12,66.8294234647086,0.8016975328829871,4.0455087069421204e-05
0.015667510701081494,1.0410332496721622,4.330761714955306e-12,66.8294234647086,0.8016981745112878,4.045470940057858e-05
0.015848931924611134,1.0530878465697742,4.380889548290289e-12,66.8294234647086,0.8016988312038583,4.0454323316647424e-05
0.016032453906900418,1.0652820291207843,4.43163808736902e-12,66.8294234647086,0.8016995033848892,4.0453928809828244e-05
0.0162181009735893,1.0776174136508798,4.482933376050808e-12,66.8294234647086,0.8017001914022693,4.04535256500693e-05
0.016405897731995397,1.0900956352019207,4.534843485291427e-12,66.8294234647086,0.8017008956337374,4.045311366009889e-05
0.016595869074375606,1.1027183477486562,4.5873545203624095e-12,66.8294234647086,0.8017016164888888,4.045269272179126e-05
0.016788040181225608,1.1154872244179628,4.640473271079861e-12,66.8294234647086,0.8017023543918599,4.045226271231465e-05
0.016982436524617443,1.1284039577106113,4.694207238767562e-12,66.8294234647086,0.8017031097748419,4.045182351331823e-05
0.017179083871575886,1.1414702597256103,4.748564355042031e-12,66.8294234647086,0.8017038830819087,4.0451375005434694e-05
