tau,P,omega,omega_0,fidelity,epsilon,Teff,intH,DintH,normax
#REFERENCE:0.015798804420085674,0.49893038622179275,0.07497380877988832,0.3073586344335756
0.1,1000,62.83185307179586,2.1709079388110846,0.024588994765130205,0.4516226753577185,2.186904783663783,53.80842955379793,0.00010572832770124578,4202.461434732414
0.1,1000,62.83185307179586,2.591579188665106,0.022232529421225024,0.4624691346792081,1.8314161988082152,45.41557938094716,0.00015610182730681544,3559.98344231229
0.1,1000,62.83185307179586,3.0937667005816545,0.018362031941335042,0.4825785796959095,1.5737864800208923,38.95571965758208,2.44993913226462e-05,3028.9752802607227
0.1,1000,62.83185307179586,3.6932664220683193,0.013281134167596447,0.5126626597696786,1.3871058000423102,34.02641514652922,1.3877386445582423e-05,2592.734242909788
0.1,1000,62.83185307179586,4.408935186293411,0.007807046412809412,0.5519868322874101,1.2579048965712474,30.398276943234546,2.19860662729608e-05,2237.538602789319
0.1,1000,62.83185307179586,5.263283840229962,0.00324992141133948,0.597528675766662,1.1787614847911867,27.91220600123524,1.6209636570495487e-05,1952.2161937137048
0.1,1000,62.83185307179586,6.283185307179586,0.0009354429623208389,0.6435799104915281,1.1450314282645766,26.45713901387587,1.0049121261368522e-06,1727.7932872784886
0.1,1000,62.83185307179586,7.500719855274338,0.0010613183512906872,0.6830359670157455,1.153876538229854,25.961864310680443,1.3286069991852905e-06,1557.2126981921206
0.1,1000,62.83185307179586,8.954184159270191,0.0017761423728808476,0.711214167668466,1.2041216699614317,26.391735561229908,1.0897725943230233e-06,1435.1121545306946
0.1,1000,62.83185307179586,10.689295894946174,0.0011031138470175641,0.729383529388304,1.29624784423565,27.74899144221383,1.371603079181988e-06,1357.6557706105534
0.1,1000,62.83185307179586,12.760631755760757,0.0013268939926431148,0.7407764491564477,1.4326269945133743,30.08367502684259,1.0194093036375307e-07,1322.4131013770425
0.1,1000,62.83185307179586,15.233344123546667,0.0047019518742693125,0.7418057270657548,1.620948574519137,33.55789841881603,4.7227690203044403e-07,1328.2818938833868
0.1,1000,62.83185307179586,18.185210389887885,0.004217292261085688,0.7296684553424695,1.8617924119860811,38.18319928834904,3.963674970464126e-07,1437.0553234350157
0.1,1000,62.83185307179586,21.70907938811084,0.005322861104146691,0.7159669194196082,2.168459716253748,44.080158857201326,3.322219868095999e-07,1721.5029919256065
0.1,1000,62.83185307179586,25.91579188665106,0.006321402961975729,0.7265040417527884,2.55595009378073,51.39522454222473,6.018177316491347e-07,2059.909856906162
0.1,1000,62.83185307179586,30.93766700581654,0.0007247078211944322,0.7240226970201462,3.023953924091915,60.326819709981415,5.041978070607911e-07,2462.930469818898
0.1,1000,62.83185307179586,36.932664220683186,0.0018144775698851728,0.7677131643142785,3.5862246812433622,71.14349010147154,4.223873304454173e-07,2943.233602896472
0.1,1000,62.83185307179586,44.0893518629341,0.00019036006065153876,0.7601764058842237,4.2600667371867456,84.19183619538494,1.2064367065895391e-06,3515.9203784319157
0.1,1000,62.83185307179586,52.6328384022996,0.0016057123141493205,0.7251993316227449,5.066502666876495,99.90803231446934,1.296440010674295e-06,4199.004519523616
0.1,1000,62.83185307179586,62.83185307179586,0.0010192054355819245,0.7034607959817001,6.034785961122141,118.8114913007724,9.791395001457204e-07,5013.972235193861
0.1,1000,125.66370614359172,2.1709079388110846,0.0779397311596746,0.29638623574681267,3.6947180137023627,87.40235961226915,0.005112363140639786,1991.5368112104002
0.1,1000,125.66370614359172,2.591579188665106,0.07958581220124473,0.29166388935783344,3.097334575471777,73.18337683926016,0.004382603948300812,1673.7478197892679
0.1,1000,125.66370614359172,3.0937667005816545,0.07885328245774158,0.2918004523812354,2.6026202685903264,61.54582879014313,0.0006448001083904382,1407.5414750987427
0.1,1000,125.66370614359172,3.6932664220683193,0.07608396490668651,0.2965509924499521,2.1983909728872955,52.11912374651322,0.0004432399392138004,1184.5444477741303
0.1,1000,125.66370614359172,4.408935186293411,0.07156995832863004,0.30563391117617844,1.8777463111129564,44.609305248047974,0.0003674661435304807,997.7533490821398
0.1,1000,125.66370614359172,5.263283840229962,0.06537834197335854,0.31956146362888277,1.6361413155614062,38.7913307064089,0.00029762146592414294,841.2878118239887
0.1,1000,125.66370614359172,6.283185307179586,0.05738663873144844,0.33943736576632927,1.4654723269084045,34.49059182267316,0.00025147174402417025,710.2206087940878
0.1,1000,125.66370614359172,7.500719855274338,0.0475295317293413,0.3664365058299414,1.3570845128583964,31.57584224656685,0.00012899045827197142,600.4291152581616
